CBOP,Suburb,Population
England,Richmond (NSW),222.0
England,Richmond Lowlands,0.0
England,Riverstone,132.0
England,Riverview (NSW),166.0
England,Riverwood,97.0
England,Rockdale,161.0
England,Rocky Point (NSW),10.0
England,Rodd Point,31.0
England,Rooty Hill,167.0
England,Ropes Crossing,101.0
England,Rose Bay (NSW),536.0
England,Rosebery (NSW),254.0
England,Rosehill (NSW),33.0
England,Roselands,100.0
England,Rosemeadow,193.0
England,Roseville,463.0
England,Roseville Chase,76.0
England,Rossmore (NSW),24.0
England,Rouse Hill,261.0
England,Royal National Park,0.0
England,Rozelle,712.0
England,Ruse,212.0
England,Rushcutters Bay,161.0
England,Russell Lea,148.0
England,Rydalmere,126.0
England,Ryde,505.0
England,Sackville,3.0
England,Sackville North,17.0
England,Sadleir,34.0
England,San Remo (NSW),99.0
England,Sandringham (NSW),23.0
England,Sandy Point (NSW),21.0
England,Sans Souci,188.0
England,Saratoga,225.0
England,Scheyville,0.0
England,Schofields,115.0
England,Scotland Island,51.0
England,Seaforth (NSW),739.0
England,Sefton,31.0
England,Seven Hills (NSW),347.0
England,Shalvey,66.0
England,Shanes Park,9.0
England,Shelly Beach (NSW),39.0
England,Silverdale (NSW),105.0
England,Silverwater (Parramatta - NSW),31.0
England,Singletons Mill,0.0
England,Smeaton Grange,0.0
England,Smithfield (NSW),107.0
England,Somersby,47.0
England,South Coogee,277.0
England,South Granville,20.0
England,South Hurstville,40.0
England,South Maroota,21.0
England,South Penrith,528.0
England,South Turramurra,184.0
England,South Wentworthville,49.0
England,South Windsor,210.0
England,Spencer,11.0
England,Spring Farm (NSW),120.0
England,Springfield (Central Coast - NSW),210.0
England,Springwood (NSW),581.0
England,St Albans (NSW),15.0
England,St Andrews (NSW),131.0
England,St Clair (Penrith - NSW),486.0
England,St Helens Park,153.0
England,St Huberts Island,44.0
England,St Ives (NSW),1089.0
England,St Ives Chase,243.0
England,St Johns Park,25.0
England,St Leonards (NSW),209.0
England,St Marys (NSW),217.0
England,St Peters (NSW),159.0
England,Stanhope Gardens,226.0
England,Stanmore (NSW),311.0
England,Strathfield (NSW),185.0
England,Strathfield South,39.0
England,Summer Hill (Inner West - NSW),258.0
England,Summerland Point,106.0
England,Sun Valley (NSW),13.0
England,Surry Hills,1050.0
England,Sutherland (NSW),371.0
England,Sydenham (NSW),34.0
England,Sydney,383.0
England,Sydney Olympic Park,25.0
England,Sylvania,288.0
England,Sylvania Waters,52.0
England,Tacoma,18.0
England,Tacoma South,20.0
England,Tahmoor,189.0
England,Tamarama,118.0
England,Taren Point,64.0
England,Tascott,82.0
England,Telopea,88.0
England,Tempe,97.0
England,Tennyson (NSW),19.0
England,Tennyson Point,37.0
England,Terrey Hills,234.0
England,Terrigal,835.0
England,The Entrance,111.0
England,The Entrance North,38.0
England,The Oaks,100.0
England,The Ponds,265.0
England,The Rocks (Sydney - NSW),32.0
England,The Slopes,19.0
England,Theresa Park,17.0
England,Thirlmere,180.0
England,Thornleigh,323.0
England,Toongabbie (NSW),196.0
England,Toowoon Bay,28.0
England,Toukley,171.0
England,Tregear,67.0
England,Tuggerah,33.0
England,Tuggerawong,38.0
England,Tumbi Umbi,263.0
England,Turramurra,768.0
England,Turrella,30.0
England,Ultimo,164.0
England,Umina Beach,737.0
England,Upper Colo,0.0
England,Upper Macdonald,5.0
England,Valley Heights,59.0
England,Varroville,5.0
England,Vaucluse,482.0
England,Villawood,31.0
England,Vineyard,35.0
England,Voyager Point,38.0
England,Wadalba,113.0
England,Wagstaffe,10.0
England,Wahroonga,978.0
England,Waitara,144.0
England,Wakeley,20.0
England,Wallacia,54.0
England,Wallarah,9.0
England,Wamberal,305.0
England,Wareemba,42.0
England,Warnervale,22.0
England,Warragamba,37.0
England,Warrawee,207.0
England,Warriewood,537.0
England,Warrimoo,106.0
England,Warwick Farm,48.0
England,Watanobbi,102.0
England,Waterfall,23.0
England,Waterloo (NSW),618.0
England,Watsons Bay,65.0
England,Wattle Grove (NSW),155.0
England,Waverley (NSW),345.0
England,Waverton,173.0
England,Webbs Creek,0.0
England,Wedderburn (NSW),29.0
England,Wendoree Park,4.0
England,Wentworth Falls,394.0
England,Wentworth Point,135.0
England,Wentworthville,122.0
England,Werombi,32.0
England,Werrington,103.0
England,Werrington County,114.0
England,Werrington Downs,114.0
England,West Gosford,69.0
England,West Hoxton,70.0
England,West Pennant Hills,564.0
England,West Pymble,273.0
England,West Ryde,212.0
England,Westleigh,267.0
England,Westmead,134.0
England,Wetherill Park,45.0
England,Whalan,95.0
England,Whale Beach,14.0
England,Wheeler Heights,216.0
England,Wheeny Creek,0.0
England,Wilberforce (NSW),92.0
England,Wiley Park,28.0
England,Willmot,68.0
England,Willoughby (NSW),312.0
England,Willoughby East,91.0
England,Wilton (NSW),98.0
England,Windsor (NSW),66.0
England,Windsor Downs,55.0
England,Winmalee,321.0
England,Winston Hills,326.0
England,Wisemans Ferry,7.0
England,Wolli Creek,97.0
England,Wollstonecraft,518.0
England,Wondabyne,0.0
England,Woodbine (NSW),63.0
England,Woodcroft (NSW),52.0
England,Woodford (NSW),130.0
England,Woodpark,23.0
England,Woollahra,495.0
England,Woolloomooloo,246.0
England,Woolooware,173.0
England,Woolwich,34.0
England,Woongarrah,217.0
England,Woronora,107.0
England,Woronora Heights,128.0
England,Woy Woy,500.0
England,Woy Woy Bay,37.0
England,Wrights Creek (NSW),0.0
England,Wyoming,497.0
England,Wyong,156.0
England,Wyong Creek,21.0
England,Wyongah,61.0
England,Yagoona,87.0
England,Yanderra,27.0
England,Yarramalong,25.0
England,Yarramundi,16.0
England,Yarrawarrah,96.0
England,Yattalunga (NSW),34.0
England,Yellow Rock (Blue Mountains - NSW),47.0
England,Yennora,16.0
England,Yerranderie,0.0
England,Yowie Bay,84.0
England,Zetland,336.0
Australia,Abbotsbury,2657.0
Australia,Abbotsford (NSW),3416.0
Australia,Acacia Gardens,2114.0
Australia,Agnes Banks,756.0
Australia,Airds,2070.0
Australia,Alexandria,4852.0
Australia,Alfords Point,2346.0
Australia,Alison (Central Coast - NSW),77.0
Australia,Allambie Heights,4962.0
Australia,Allawah,1968.0
Australia,Ambarvale,4924.0
Australia,Annandale (NSW),6265.0
Australia,Annangrove,1117.0
Australia,Appin (NSW),2181.0
Australia,Arcadia (NSW),1100.0
Australia,Arncliffe,4894.0
Australia,Arndell Park,5.0
Australia,Artarmon,4428.0
Australia,Ashbury,2174.0
Australia,Ashcroft,1905.0
Australia,Ashfield (NSW),9216.0
Australia,Asquith,2132.0
Australia,Auburn (NSW),11027.0
Australia,Austral,1821.0
Australia,Avalon Beach,7241.0
Australia,Avoca Beach,3507.0
Australia,Badgerys Creek,148.0
Australia,Balgowlah,5020.0
Australia,Balgowlah Heights,2238.0
Australia,Balmain,6443.0
Australia,Balmain East,1210.0
Australia,Bangor (NSW),4498.0
Australia,Banksia,1692.0
Australia,Banksmeadow,15.0
Australia,Bankstown,11913.0
Australia,Bar Point,58.0
Australia,Barangaroo,39.0
Australia,Barden Ridge,3571.0
Australia,Bardia,788.0
Australia,Bardwell Park,1425.0
Australia,Bardwell Valley,1420.0
Australia,Bargo,3595.0
Australia,Bass Hill,5305.0
Australia,Bateau Bay,10066.0
Australia,Baulkham Hills,22292.0
Australia,Bayview (NSW),2429.0
Australia,Beacon Hill,5008.0
Australia,Beaconsfield (NSW),585.0
Australia,Beaumont Hills,5380.0
Australia,Beecroft,6070.0
Australia,Belfield,3559.0
Australia,Belimbla Park,485.0
Australia,Bell (NSW),42.0
Australia,Bella Vista,4004.0
Australia,Bellevue Hill,6227.0
Australia,Belmore,5565.0
Australia,Belrose,5931.0
Australia,Bensville,2108.0
Australia,Berala,3302.0
Australia,Berambing,84.0
Australia,Berkeley Vale,7075.0
Australia,Berkshire Park,1603.0
Australia,Berowra,3447.0
Australia,Berowra Creek,10.0
Australia,Berowra Heights,4099.0
Australia,Berowra Waters,34.0
Australia,Berrilee,177.0
Australia,Beverley Park,1447.0
Australia,Beverly Hills,5016.0
Australia,Bexley,9805.0
Australia,Bexley North,2281.0
Australia,Bidwill (NSW),2796.0
Australia,Bilgola Beach,180.0
Australia,Bilgola Plateau,2499.0
Australia,Bilpin,518.0
Australia,Birchgrove,2105.0
Australia,Birrong,1578.0
Australia,Blackett,2188.0
Australia,Blackheath,3224.0
Australia,Blacktown,21768.0
Australia,Blackwall (NSW),1459.0
Australia,Blair Athol (NSW),1447.0
Australia,Blairmount,281.0
Australia,Blakehurst,3998.0
Australia,Blaxland (NSW),6118.0
Australia,Blaxlands Ridge,393.0
Australia,Bligh Park,5511.0
Australia,Blue Bay,813.0
Australia,Blue Haven,5356.0
Australia,Bondi,4476.0
Australia,Bondi Beach,5289.0
Australia,Bondi Junction,3835.0
Australia,Bonnet Bay,1792.0
Australia,Bonnyrigg,3552.0
Australia,Bonnyrigg Heights,3350.0
Australia,Booker Bay,1010.0
Australia,Bossley Park,6629.0
Australia,Botany,6823.0
Australia,Bouddi,5.0
Australia,Bow Bowing,978.0
Australia,Bowen Mountain,1284.0
Australia,Box Hill (NSW),689.0
Australia,Bradbury (NSW),6282.0
Australia,Breakfast Point,2259.0
Australia,Brighton-le-Sands,4120.0
Australia,Bringelly,1819.0
Australia,Bronte,4207.0
Australia,Brooklyn (NSW),541.0
Australia,Brookvale,1696.0
Australia,Brownlow Hill,271.0
Australia,Budgewoi,2779.0
